"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"06/2023";"26000 - Ministério da Educação";"26428 - Instituto Federal de Brasília";"32.608.448,20";"28.979.044,17";"23.164.540,52";"2.033.130,57";
"02/2023";"26000 - Ministério da Educação";"26429 - Instituto Federal de Educação, Ciência e Tecnologia de Goiás";"2.473.135,69";"39.149.915,36";"36.339.979,06";"13.086.532,93";
"01/2023";"26000 - Ministério da Educação";"26429 - Instituto Federal de Educação, Ciência e Tecnologia de Goiás";"434.493.261,02";"35.989.808,08";"11.783.589,30";"39.693.092,94";
"03/2023";"26000 - Ministério da Educação";"26429 - Instituto Federal de Educação, Ciência e Tecnologia de Goiás";"4.831.076,22";"38.767.960,06";"40.660.006,65";"7.102.173,33";
"05/2023";"26000 - Ministério da Educação";"26429 - Instituto Federal de Educação, Ciência e Tecnologia de Goiás";"7.478.003,74";"43.410.298,14";"36.169.349,84";"2.448.720,70";
"07/2023";"26000 - Ministério da Educação";"26429 - Instituto Federal de Educação, Ciência e Tecnologia de Goiás";"16.529.921,35";"42.590.688,82";"49.330.154,54";"1.571.197,06";
"08/2023";"26000 - Ministério da Educação";"26429 - Instituto Federal de Educação, Ciência e Tecnologia de Goiás";"337.498,85";"4.151.998,12";"61.093.055,38";"777.025,67";
"04/2023";"26000 - Ministério da Educação";"26429 - Instituto Federal de Educação, Ciência e Tecnologia de Goiás";"8.130.792,10";"39.081.292,86";"38.615.196,64";"1.885.371,32";
"06/2023";"26000 - Ministério da Educação";"26429 - Instituto Federal de Educação, Ciência e Tecnologia de Goiás";"12.756.279,71";"51.066.403,05";"39.304.098,42";"1.767.959,06";
"02/2023";"26000 - Ministério da Educação";"26409 - Instituto Federal de Minas Gerais";"6.714.034,76";"34.211.159,97";"33.382.924,96";"3.887.182,11";
"08/2023";"26000 - Ministério da Educação";"26409 - Instituto Federal de Minas Gerais";"2.031.295,75";"4.614.254,75";"50.733.256,52";"956.479,72";
"07/2023";"26000 - Ministério da Educação";"26409 - Instituto Federal de Minas Gerais";"31.636.470,28";"39.709.557,85";"48.261.386,01";"1.571.155,36";
"03/2023";"26000 - Ministério da Educação";"26409 - Instituto Federal de Minas Gerais";"- 6.553.277,63";"34.619.691,27";"35.571.485,33";"5.399.225,96";
"05/2023";"26000 - Ministério da Educação";"26409 - Instituto Federal de Minas Gerais";"5.287.604,74";"39.437.935,71";"32.811.997,05";"2.245.534,79";
"04/2023";"26000 - Ministério da Educação";"26409 - Instituto Federal de Minas Gerais";"17.270.240,90";"34.656.572,85";"34.217.700,48";"2.370.457,73";
"06/2023";"26000 - Ministério da Educação";"26409 - Instituto Federal de Minas Gerais";"7.627.332,20";"48.114.522,84";"40.312.881,96";"2.443.504,79";
"01/2023";"26000 - Ministério da Educação";"26409 - Instituto Federal de Minas Gerais";"431.474.263,15";"33.316.662,46";"10.443.546,26";"33.932.740,09";
"01/2023";"26000 - Ministério da Educação";"26418 - Instituto Federal de Pernambuco";"544.182.642,61";"43.170.337,05";"13.624.765,63";"48.133.928,79";
"05/2023";"26000 - Ministério da Educação";"26418 - Instituto Federal de Pernambuco";"11.477.800,65";"52.044.006,47";"43.800.336,96";"1.444.986,45";
"07/2023";"26000 - Ministério da Educação";"26418 - Instituto Federal de Pernambuco";"10.589.339,08";"51.427.188,92";"62.047.790,90";"1.025.913,00";
"06/2023";"26000 - Ministério da Educação";"26418 - Instituto Federal de Pernambuco";"6.909.249,33";"62.535.813,85";"52.594.229,94";"1.382.900,67";
"04/2023";"26000 - Ministério da Educação";"26418 - Instituto Federal de Pernambuco";"26.646.911,12";"46.713.236,68";"46.291.112,63";"2.923.890,25";
"03/2023";"26000 - Ministério da Educação";"26418 - Instituto Federal de Pernambuco";"7.694.330,57";"46.258.000,98";"48.544.982,01";"4.079.236,75";
"08/2023";"26000 - Ministério da Educação";"26418 - Instituto Federal de Pernambuco";"1.837.318,92";"3.761.172,98";"66.191.596,17";"403.202,01";
"02/2023";"26000 - Ministério da Educação";"26418 - Instituto Federal de Pernambuco";"6.187.878,44";"46.315.601,97";"43.293.126,76";"3.392.889,47";
"08/2023";"26000 - Ministério da Educação";"26421 - Instituto Federal de Rondônia";"2.017.124,13";"2.932.565,85";"26.646.445,01";"5.137.204,52";
"04/2023";"26000 - Ministério da Educação";"26421 - Instituto Federal de Rondônia";"13.806.013,57";"19.745.592,48";"18.505.453,95";"5.201.944,43";
"02/2023";"26000 - Ministério da Educação";"26421 - Instituto Federal de Rondônia";"5.906.835,86";"17.494.492,53";"15.930.111,52";"2.469.220,28";
"05/2023";"26000 - Ministério da Educação";"26421 - Instituto Federal de Rondônia";"10.046.226,03";"22.483.617,75";"20.020.899,84";"5.465.573,25";
"03/2023";"26000 - Ministério da Educação";"26421 - Instituto Federal de Rondônia";"3.366.247,65";"18.309.432,43";"19.425.870,76";"5.834.760,53";
"01/2023";"26000 - Ministério da Educação";"26421 - Instituto Federal de Rondônia";"200.555.524,71";"15.878.334,19";"5.297.873,96";"20.595.848,89";
"07/2023";"26000 - Ministério da Educação";"26421 - Instituto Federal de Rondônia";"30.535.977,90";"23.606.816,94";"27.508.325,07";"3.632.613,21";
"06/2023";"26000 - Ministério da Educação";"26421 - Instituto Federal de Rondônia";"5.584.453,54";"26.767.598,56";"20.210.856,24";"1.359.848,14";
"03/2023";"26000 - Ministério da Educação";"26437 - Instituto Federal de Roraima";"18.413.035,83";"11.008.802,15";"11.478.633,54";"2.221.795,71";
"01/2023";"26000 - Ministério da Educação";"26437 - Instituto Federal de Roraima";"23.200.794,20";"10.107.979,68";"3.223.540,01";"10.395.908,72";
"04/2023";"26000 - Ministério da Educação";"26437 - Instituto Federal de Roraima";"3.425.814,67";"10.889.931,80";"10.795.806,39";"2.360.216,81";
"05/2023";"26000 - Ministério da Educação";"26437 - Instituto Federal de Roraima";"20.742.351,64";"13.236.131,53";"11.231.958,05";"1.027.178,69";
"07/2023";"26000 - Ministério da Educação";"26437 - Instituto Federal de Roraima";"10.393.472,15";"12.951.204,05";"16.080.921,27";"808.720,46";
"06/2023";"26000 - Ministério da Educação";"26437 - Instituto Federal de Roraima";"19.778.406,82";"16.096.733,55";"12.956.198,86";"351.655,36";
"02/2023";"26000 - Ministério da Educação";"26437 - Instituto Federal de Roraima";"13.168.573,42";"11.000.855,64";"10.184.212,09";"1.277.236,54";
"08/2023";"26000 - Ministério da Educação";"26437 - Instituto Federal de Roraima";"981.145,23";"1.382.277,51";"16.329.155,73";"654.225,20";
"08/2023";"26000 - Ministério da Educação";"26438 - Instituto Federal de Santa Catarina";"3.563.406,34";"3.361.064,07";"70.086.745,15";"779.147,18";
"02/2023";"26000 - Ministério da Educação";"26438 - Instituto Federal de Santa Catarina";"8.557.547,11";"45.720.208,63";"44.174.533,67";"3.387.191,68";
"04/2023";"26000 - Ministério da Educação";"26438 - Instituto Federal de Santa Catarina";"76.422.066,40";"49.095.716,77";"48.392.040,41";"3.520.015,05";
"01/2023";"26000 - Ministério da Educação";"26438 - Instituto Federal de Santa Catarina";"300.112.547,04";"44.747.120,08";"14.677.969,78";"51.849.538,68";
"06/2023";"26000 - Ministério da Educação";"26438 - Instituto Federal de Santa Catarina";"255.132.166,36";"66.453.820,20";"48.769.661,60";"1.397.261,81";
"03/2023";"26000 - Ministério da Educação";"26438 - Instituto Federal de Santa Catarina";"7.193.970,15";"47.877.247,05";"47.398.610,64";"6.648.500,75";
"07/2023";"26000 - Ministério da Educação";"26438 - Instituto Federal de Santa Catarina";"10.268.824,14";"53.671.490,55";"66.074.706,35";"1.531.930,99";
"05/2023";"26000 - Ministério da Educação";"26438 - Instituto Federal de Santa Catarina";"12.568.926,59";"56.065.400,74";"46.842.099,97";"2.727.308,54";
"02/2023";"26000 - Ministério da Educação";"26423 - Instituto Federal de Sergipe";"23.967.403,22";"23.440.074,39";"21.727.628,53";"2.224.817,69";
"03/2023";"26000 - Ministério da Educação";"26423 - Instituto Federal de Sergipe";"189.101.404,02";"22.583.786,80";"24.110.037,12";"1.578.537,96";
"06/2023";"26000 - Ministério da Educação";"26423 - Instituto Federal de Sergipe";"8.701.695,15";"30.518.008,56";"22.656.868,42";"587.711,28";
"04/2023";"26000 - Ministério da Educação";"26423 - Instituto Federal de Sergipe";"8.530.578,57";"22.659.562,86";"22.567.291,44";"1.646.736,36";
"01/2023";"26000 - Ministério da Educação";"26423 - Instituto Federal de Sergipe";"23.313.412,40";"21.242.832,60";"6.682.181,86";"22.853.632,33";
"05/2023";"26000 - Ministério da Educação";"26423 - Instituto Federal de Sergipe";"8.145.239,00";"25.772.741,11";"21.474.654,41";"1.191.737,82";
"08/2023";"26000 - Ministério da Educação";"26423 - Instituto Federal de Sergipe";"260.848,77";"1.498.935,56";"35.320.248,85";"298.983,62";
"07/2023";"26000 - Ministério da Educação";"26423 - Instituto Federal de Sergipe";"3.768.732,40";"25.474.913,02";"31.131.148,11";"1.140.871,84";
"07/2023";"26000 - Ministério da Educação";"26439 - Instituto Federal de São Paulo";"13.759.237,00";"89.325.970,48";"114.287.395,25";"6.482.952,69";
"03/2023";"26000 - Ministério da Educação";"26439 - Instituto Federal de São Paulo";"11.942.637,62";"78.168.295,60";"78.969.678,32";"10.290.778,47";
"01/2023";"26000 - Ministério da Educação";"26439 - Instituto Federal de São Paulo";"968.322.140,28";"72.581.829,66";"23.892.668,15";"75.535.105,41";
"04/2023";"26000 - Ministério da Educação";"26439 - Instituto Federal de São Paulo";"31.259.070,71";"79.794.963,18";"78.803.310,00";"6.443.192,82";
"06/2023";"26000 - Ministério da Educação";"26439 - Instituto Federal de São Paulo";"16.387.899,28";"115.160.369,22";"89.522.594,63";"3.578.782,29";
"08/2023";"26000 - Ministério da Educação";"26439 - Instituto Federal de São Paulo";"7.586.833,93";"6.106.850,95";"113.511.603,90";"2.878.894,62";
"02/2023";"26000 - Ministério da Educação";"26439 - Instituto Federal de São Paulo";"8.601.370,05";"75.324.345,02";"72.750.897,05";"4.698.383,44";
"05/2023";"26000 - Ministério da Educação";"26439 - Instituto Federal de São Paulo";"22.555.395,01";"87.910.670,56";"73.832.722,05";"7.595.410,49";
"05/2023";"26000 - Ministério da Educação";"26425 - Instituto Federal do Acre";"31.854.413,69";"11.495.171,88";"9.925.186,27";"489.738,95";
"08/2023";"26000 - Ministério da Educação";"26425 - Instituto Federal do Acre";"268.256,81";"985.956,56";"15.814.558,22";"272.565,57";
"06/2023";"26000 - Ministério da Educação";"26425 - Instituto Federal do Acre";"2.589.397,93";"15.056.480,82";"10.143.747,91";"662.263,85";
"02/2023";"26000 - Ministério da Educação";"26425 - Instituto Federal do Acre";"13.393.097,12";"9.862.020,24";"9.364.364,15";"1.451.884,87";
"03/2023";"26000 - Ministério da Educação";"26425 - Instituto Federal do Acre";"68.780.757,76";"10.517.592,98";"10.370.359,12";"3.945.586,06";
"01/2023";"26000 - Ministério da Educação";"26425 - Instituto Federal do Acre";"11.057.834,12";"9.207.623,40";"3.060.811,90";"9.694.771,44";
"07/2023";"26000 - Ministério da Educação";"26425 - Instituto Federal do Acre";"2.146.344,91";"11.739.413,98";"15.347.020,29";"1.026.116,99";
"04/2023";"26000 - Ministério da Educação";"26425 - Instituto Federal do Acre";"7.340.029,90";"10.503.787,10";"10.262.366,87";"1.824.347,60";
"02/2023";"26000 - Ministério da Educação";"26426 - Instituto Federal do Amapá";"2.115.633,01";"9.254.975,78";"7.551.378,46";"708.437,84";
"06/2023";"26000 - Ministério da Educação";"26426 - Instituto Federal do Amapá";"2.333.901,89";"11.922.757,78";"10.452.823,05";"1.047.243,51";
"03/2023";"26000 - Ministério da Educação";"26426 - Instituto Federal do Amapá";"975.146,71";"7.633.520,09";"9.388.830,92";"1.659.136,45";
"07/2023";"26000 - Ministério da Educação";"26426 - Instituto Federal do Amapá";"4.560.209,74";"9.157.251,72";"10.842.079,91";"514.292,71";
"08/2023";"26000 - Ministério da Educação";"26426 - Instituto Federal do Amapá";"9.255.171,30";"1.375.410,54";"12.008.045,82";"188.599,47";
"04/2023";"26000 - Ministério da Educação";"26426 - Instituto Federal do Amapá";"6.329.435,37";"7.951.181,42";"7.767.727,29";"2.386.714,22";
"05/2023";"26000 - Ministério da Educação";"26426 - Instituto Federal do Amapá";"1.349.459,38";"9.386.317,34";"7.741.999,76";"1.105.466,56";
"01/2023";"26000 - Ministério da Educação";"26426 - Instituto Federal do Amapá";"93.998.577,80";"7.346.193,14";"2.327.825,70";"7.830.816,58";
"02/2023";"26000 - Ministério da Educação";"26403 - Instituto Federal do Amazonas";"4.589.980,92";"28.416.569,74";"25.410.773,85";"3.349.257,81";
"01/2023";"26000 - Ministério da Educação";"26403 - Instituto Federal do Amazonas";"352.691.560,34";"27.592.783,65";"8.483.459,26";"30.313.904,32";
"03/2023";"26000 - Ministério da Educação";"26403 - Instituto Federal do Amazonas";"4.894.203,48";"31.011.981,09";"34.031.860,99";"4.239.406,65";
"07/2023";"26000 - Ministério da Educação";"26403 - Instituto Federal do Amazonas";"17.165.000,87";"37.229.936,40";"42.820.039,96";"1.584.085,62";
"08/2023";"26000 - Ministério da Educação";"26403 - Instituto Federal do Amazonas";"5.393.182,77";"2.789.755,60";"44.085.750,31";"709.352,12";
"05/2023";"26000 - Ministério da Educação";"26403 - Instituto Federal do Amazonas";"11.203.767,39";"34.220.399,31";"29.711.539,70";"3.368.292,16";
"04/2023";"26000 - Ministério da Educação";"26403 - Instituto Federal do Amazonas";"9.058.249,59";"32.602.509,18";"30.550.035,38";"2.850.042,26";
"06/2023";"26000 - Ministério da Educação";"26403 - Instituto Federal do Amazonas";"10.773.798,30";"43.454.827,55";"32.445.122,66";"1.675.904,78";
"05/2023";"26000 - Ministério da Educação";"26405 - Instituto Federal do Ceará";"20.679.955,53";"73.691.134,16";"61.061.986,13";"2.626.949,30";
"03/2023";"26000 - Ministério da Educação";"26405 - Instituto Federal do Ceará";"12.005.584,70";"65.194.712,32";"68.332.345,34";"6.992.305,10";
"04/2023";"26000 - Ministério da Educação";"26405 - Instituto Federal do Ceará";"47.135.452,48";"64.814.041,12";"63.543.502,10";"4.420.377,89";
"07/2023";"26000 - Ministério da Educação";"26405 - Instituto Federal do Ceará";"2.330.929,45";"71.174.797,05";"89.808.587,01";"645.894,75";
"01/2023";"26000 - Ministério da Educação";"26405 - Instituto Federal do Ceará";"743.938.515,90";"57.653.123,43";"19.297.736,69";"63.453.238,47";
"06/2023";"26000 - Ministério da Educação";"26405 - Instituto Federal do Ceará";"97.526.945,02";"91.817.256,21";"66.623.166,49";"1.970.880,18";
"08/2023";"26000 - Ministério da Educação";"26405 - Instituto Federal do Ceará";"10.523.406,58";"4.993.071,81";"98.366.927,62";"695.908,27";
"02/2023";"26000 - Ministério da Educação";"26405 - Instituto Federal do Ceará";"4.558.394,00";"64.342.839,42";"59.535.385,92";"6.378.879,08";
"07/2023";"26000 - Ministério da Educação";"26406 - Instituto Federal do Espírito Santo";"89.737.664,42";"67.944.891,83";"77.483.446,58";"1.217.009,29";
"01/2023";"26000 - Ministério da Educação";"26406 - Instituto Federal do Espírito Santo";"193.453.792,28";"53.059.204,47";"17.311.308,26";"57.111.252,95";
"06/2023";"26000 - Ministério da Educação";"26406 - Instituto Federal do Espírito Santo";"56.074.186,59";"80.763.039,26";"60.470.947,79";"2.838.768,99";
"02/2023";"26000 - Ministério da Educação";"26406 - Instituto Federal do Espírito Santo";"21.741.679,43";"63.030.508,76";"55.570.841,93";"10.283.736,64";
"03/2023";"26000 - Ministério da Educação";"26406 - Instituto Federal do Espírito Santo";"63.451.369,08";"57.084.555,16";"64.432.578,46";"7.921.780,41";
"04/2023";"26000 - Ministério da Educação";"26406 - Instituto Federal do Espírito Santo";"60.674.861,43";"59.146.736,00";"55.722.765,27";"5.434.952,89";
"05/2023";"26000 - Ministério da Educação";"26406 - Instituto Federal do Espírito Santo";"181.962.816,43";"66.465.016,97";"56.275.978,73";"4.531.858,40";
"08/2023";"26000 - Ministério da Educação";"26406 - Instituto Federal do Espírito Santo";"7.524.594,45";"10.231.937,76";"88.899.338,11";"1.127.744,52";
"03/2023";"26000 - Ministério da Educação";"26408 - Instituto Federal do Maranhão";"7.862.653,95";"52.011.767,55";"59.793.694,44";"11.667.172,31";
"07/2023";"26000 - Ministério da Educação";"26408 - Instituto Federal do Maranhão";"14.996.375,73";"62.337.333,64";"75.417.319,99";"2.121.679,23";
"08/2023";"26000 - Ministério da Educação";"26408 - Instituto Federal do Maranhão";"36.648.222,76";"6.193.739,56";"73.895.623,81";"3.306.576,20";
"01/2023";"26000 - Ministério da Educação";"26408 - Instituto Federal do Maranhão";"613.247.352,84";"47.970.053,81";"15.994.881,19";"52.559.133,69";
"06/2023";"26000 - Ministério da Educação";"26408 - Instituto Federal do Maranhão";"12.510.707,51";"75.900.969,01";"55.686.136,38";"3.285.131,49";
"04/2023";"26000 - Ministério da Educação";"26408 - Instituto Federal do Maranhão";"27.001.447,23";"53.898.871,62";"53.403.186,65";"4.436.713,72";
"05/2023";"26000 - Ministério da Educação";"26408 - Instituto Federal do Maranhão";"16.585.145,56";"60.254.499,54";"50.014.056,98";"6.515.107,17";
"02/2023";"26000 - Ministério da Educação";"26408 - Instituto Federal do Maranhão";"7.170.344,05";"58.159.666,93";"49.102.245,12";"4.790.534,55";
"03/2023";"26000 - Ministério da Educação";"26414 - Instituto Federal do Mato Grosso";"8.356.347,02";"38.150.303,54";"39.500.451,99";"5.575.665,14";
"01/2023";"26000 - Ministério da Educação";"26414 - Instituto Federal do Mato Grosso";"432.620.235,35";"33.991.881,75";"11.183.316,16";"35.128.034,09";
"06/2023";"26000 - Ministério da Educação";"26414 - Instituto Federal do Mato Grosso";"32.331.436,83";"57.530.417,22";"42.396.826,52";"2.510.971,64";
"04/2023";"26000 - Ministério da Educação";"26414 - Instituto Federal do Mato Grosso";"24.172.376,23";"39.343.092,27";"38.249.714,45";"2.910.667,53";
"05/2023";"26000 - Ministério da Educação";"26414 - Instituto Federal do Mato Grosso";"19.784.827,11";"43.994.578,41";"36.126.674,27";"2.329.657,82";
"07/2023";"26000 - Ministério da Educação";"26414 - Instituto Federal do Mato Grosso";"7.585.225,71";"45.832.595,19";"54.408.304,00";"2.588.156,02";
"08/2023";"26000 - Ministério da Educação";"26414 - Instituto Federal do Mato Grosso";"8.432.127,96";"6.948.504,05";"57.193.857,35";"322.679,30";
"02/2023";"26000 - Ministério da Educação";"26414 - Instituto Federal do Mato Grosso";"5.994.729,08";"37.481.946,65";"34.826.657,41";"3.745.554,83";
"05/2023";"26000 - Ministério da Educação";"26415 - Instituto Federal do Mato Grosso do Sul";"20.493.123,07";"19.991.044,81";"17.244.426,22";"4.510.350,28";
"07/2023";"26000 - Ministério da Educação";"26415 - Instituto Federal do Mato Grosso do Sul";"28.667.562,68";"20.552.725,79";"27.065.991,52";"2.312.871,68";
"02/2023";"26000 - Ministério da Educação";"26415 - Instituto Federal do Mato Grosso do Sul";"17.215.294,35";"16.123.731,68";"15.432.496,63";"1.739.146,92";
"08/2023";"26000 - Ministério da Educação";"26415 - Instituto Federal do Mato Grosso do Sul";"3.770.027,40";"2.599.866,28";"26.061.730,80";"753.768,49";
"01/2023";"26000 - Ministério da Educação";"26415 - Instituto Federal do Mato Grosso do Sul";"16.092.352,53";"15.327.284,83";"5.055.466,39";"15.131.901,44";
"04/2023";"26000 - Ministério da Educação";"26415 - Instituto Federal do Mato Grosso do Sul";"19.870.119,29";"17.835.384,69";"17.734.817,65";"4.813.017,40";
"03/2023";"26000 - Ministério da Educação";"26415 - Instituto Federal do Mato Grosso do Sul";"21.025.672,01";"17.838.847,83";"17.025.490,43";"3.542.458,26";
"06/2023";"26000 - Ministério da Educação";"26415 - Instituto Federal do Mato Grosso do Sul";"29.112.360,67";"27.678.288,26";"18.069.959,49";"1.852.233,36";
"01/2023";"26000 - Ministério da Educação";"26410 - Instituto Federal do Norte de Minas Gerais";"239.676.542,51";"20.486.500,42";"6.469.444,75";"21.603.243,58";
"03/2023";"26000 - Ministério da Educação";"26410 - Instituto Federal do Norte de Minas Gerais";"3.570.019,74";"22.625.849,68";"23.500.742,86";"4.164.575,46";
"06/2023";"26000 - Ministério da Educação";"26410 - Instituto Federal do Norte de Minas Gerais";"9.717.194,32";"30.965.511,61";"24.766.635,24";"1.297.496,08";
"08/2023";"26000 - Ministério da Educação";"26410 - Instituto Federal do Norte de Minas Gerais";"42.430.346,41";"3.340.953,44";"35.240.431,78";"782.504,61";
"05/2023";"26000 - Ministério da Educação";"26410 - Instituto Federal do Norte de Minas Gerais";"4.863.498,70";"24.593.426,00";"21.242.544,47";"1.256.089,74";
"02/2023";"26000 - Ministério da Educação";"26410 - Instituto Federal do Norte de Minas Gerais";"3.176.805,52";"22.157.460,70";"20.812.164,66";"2.165.180,50";
"04/2023";"26000 - Ministério da Educação";"26410 - Instituto Federal do Norte de Minas Gerais";"17.232.784,75";"22.482.168,99";"22.725.231,86";"2.747.790,04";
"07/2023";"26000 - Ministério da Educação";"26410 - Instituto Federal do Norte de Minas Gerais";"7.912.506,17";"28.097.415,27";"33.478.740,95";"1.538.184,00";
"02/2023";"26000 - Ministério da Educação";"26432 - Instituto Federal do Paraná";"38.321.367,25";"37.003.193,25";"34.332.667,41";"2.970.777,09";
"06/2023";"26000 - Ministério da Educação";"26432 - Instituto Federal do Paraná";"9.455.490,29";"56.702.120,44";"42.007.558,32";"2.071.163,66";
"05/2023";"26000 - Ministério da Educação";"26432 - Instituto Federal do Paraná";"304.546.589,66";"41.744.141,63";"34.966.065,41";"2.327.128,79";
"03/2023";"26000 - Ministério da Educação";"26432 - Instituto Federal do Paraná";"37.902.494,10";"37.537.810,07";"38.262.104,30";"2.711.487,98";
"07/2023";"26000 - Ministério da Educação";"26432 - Instituto Federal do Paraná";"1.975.341,93";"42.617.443,21";"56.359.498,75";"1.570.240,94";
"01/2023";"26000 - Ministério da Educação";"26432 - Instituto Federal do Paraná";"38.131.693,00";"33.757.492,69";"11.507.957,73";"31.228.030,43";
"08/2023";"26000 - Ministério da Educação";"26432 - Instituto Federal do Paraná";"3.457.268,47";"1.959.381,29";"52.331.372,75";"1.175.560,02";
"04/2023";"26000 - Ministério da Educação";"26432 - Instituto Federal do Paraná";"54.252.581,17";"37.694.909,86";"37.420.391,40";"2.240.674,46";
"08/2023";"26000 - Ministério da Educação";"26416 - Instituto Federal do Pará";"1.243.087,76";"4.232.809,86";"58.349.731,17";"321.692,59";
"03/2023";"26000 - Ministério da Educação";"26416 - Instituto Federal do Pará";"6.023.316,05";"41.483.063,98";"46.861.158,59";"2.693.803,95";
"06/2023";"26000 - Ministério da Educação";"26416 - Instituto Federal do Pará";"64.338.502,09";"62.020.398,61";"48.588.812,00";"549.773,61";
"01/2023";"26000 - Ministério da Educação";"26416 - Instituto Federal do Pará";"473.977.948,15";"37.777.020,71";"12.305.921,69";"38.419.281,27";
"05/2023";"26000 - Ministério da Educação";"26416 - Instituto Federal do Pará";"10.051.993,42";"47.022.912,44";"39.771.794,31";"1.629.071,80";
"04/2023";"26000 - Ministério da Educação";"26416 - Instituto Federal do Pará";"29.004.893,90";"42.899.888,43";"42.177.240,83";"2.343.227,19";
"02/2023";"26000 - Ministério da Educação";"26416 - Instituto Federal do Pará";"4.221.166,38";"44.468.295,83";"38.725.110,78";"1.507.936,20";
"07/2023";"26000 - Ministério da Educação";"26416 - Instituto Federal do Pará";"5.109.461,58";"48.119.382,32";"61.403.723,85";"636.543,34";
"06/2023";"26000 - Ministério da Educação";"26431 - Instituto Federal do Piauí";"29.114.834,95";"55.426.721,95";"41.741.386,54";"1.074.241,67";
"05/2023";"26000 - Ministério da Educação";"26431 - Instituto Federal do Piauí";"8.777.739,85";"45.812.479,46";"37.874.303,96";"2.080.223,79";
"03/2023";"26000 - Ministério da Educação";"26431 - Instituto Federal do Piauí";"5.395.894,18";"41.102.342,96";"42.602.451,89";"5.296.065,18";
"04/2023";"26000 - Ministério da Educação";"26431 - Instituto Federal do Piauí";"5.126.479,66";"40.772.399,26";"40.928.113,56";"1.496.419,13";
"08/2023";"26000 - Ministério da Educação";"26431 - Instituto Federal do Piauí";"6.018.694,19";"3.665.108,73";"56.620.785,62";"255.702,75";
"02/2023";"26000 - Ministério da Educação";"26431 - Instituto Federal do Piauí";"5.432.335,99";"39.736.449,35";"36.462.193,16";"2.735.108,93";
"07/2023";"26000 - Ministério da Educação";"26431 - Instituto Federal do Piauí";"5.939.623,09";"45.274.317,72";"54.488.689,26";"765.165,91";
"01/2023";"26000 - Ministério da Educação";"26431 - Instituto Federal do Piauí";"458.265.776,44";"35.683.268,63";"11.648.206,02";"39.390.477,84";
"06/2023";"26000 - Ministério da Educação";"26433 - Instituto Federal do Rio de Janeiro";"5.148.597,78";"50.746.719,82";"41.295.659,73";"1.590.574,07";
"03/2023";"26000 - Ministério da Educação";"26433 - Instituto Federal do Rio de Janeiro";"6.419.502,67";"34.981.200,45";"34.447.578,32";"2.962.357,86";
"08/2023";"26000 - Ministério da Educação";"26433 - Instituto Federal do Rio de Janeiro";"24.114.648,41";"2.425.299,29";"50.138.766,61";"277.601,91";
"05/2023";"26000 - Ministério da Educação";"26433 - Instituto Federal do Rio de Janeiro";"9.007.364,18";"41.470.868,67";"34.998.599,41";"860.491,33";
"01/2023";"26000 - Ministério da Educação";"26433 - Instituto Federal do Rio de Janeiro";"302.765.919,96";"33.158.183,01";"11.202.431,87";"35.526.819,38";
"02/2023";"26000 - Ministério da Educação";"26433 - Instituto Federal do Rio de Janeiro";"1.403.278,34";"32.807.601,52";"32.759.489,62";"1.759.840,51";
"04/2023";"26000 - Ministério da Educação";"26433 - Instituto Federal do Rio de Janeiro";"66.895.759,88";"36.266.648,19";"35.397.838,56";"2.162.189,79";
"07/2023";"26000 - Ministério da Educação";"26433 - Instituto Federal do Rio de Janeiro";"6.418.991,13";"39.414.062,54";"49.033.109,38";"1.451.023,24";
"04/2023";"26000 - Ministério da Educação";"26435 - Instituto Federal do Rio Grande do Norte";"12.222.046,25";"51.045.249,80";"49.535.216,90";"6.632.175,13";
"05/2023";"26000 - Ministério da Educação";"26435 - Instituto Federal do Rio Grande do Norte";"17.099.305,63";"58.284.741,76";"47.984.211,66";"5.869.411,61";
"02/2023";"26000 - Ministério da Educação";"26435 - Instituto Federal do Rio Grande do Norte";"3.886.992,74";"51.191.561,10";"49.129.296,70";"6.926.051,41";
"08/2023";"26000 - Ministério da Educação";"26435 - Instituto Federal do Rio Grande do Norte";"6.962.862,81";"5.203.765,16";"73.721.583,90";"1.863.591,66";
"07/2023";"26000 - Ministério da Educação";"26435 - Instituto Federal do Rio Grande do Norte";"13.265.666,27";"58.570.708,00";"60.757.952,68";"3.594.590,61";
"01/2023";"26000 - Ministério da Educação";"26435 - Instituto Federal do Rio Grande do Norte";"622.973.993,88";"48.288.964,54";"15.860.302,61";"56.642.995,87";
"03/2023";"26000 - Ministério da Educação";"26435 - Instituto Federal do Rio Grande do Norte";"8.167.368,75";"48.434.340,75";"50.827.437,37";"9.091.964,46";
"06/2023";"26000 - Ministério da Educação";"26435 - Instituto Federal do Rio Grande do Norte";"9.870.610,52";"68.195.536,22";"57.839.174,92";"8.617.352,11";
"03/2023";"26000 - Ministério da Educação";"26419 - Instituto Federal do Rio Grande do Sul";"321.309.204,26";"37.887.016,24";"38.409.487,99";"4.234.279,45";
"06/2023";"26000 - Ministério da Educação";"26419 - Instituto Federal do Rio Grande do Sul";"4.899.877,16";"53.951.696,39";"43.866.045,79";"1.091.912,88";
"01/2023";"26000 - Ministério da Educação";"26419 - Instituto Federal do Rio Grande do Sul";"142.668.594,93";"36.925.072,75";"12.062.073,96";"35.917.911,52";
